Model_CODE,MAE_VAL,MAE_VAL_ORIGINAL,MAE_TRAIN,MAE_TRAIN_ORIGINAL
32_dropout_02,0.11067277193069458,3918751.5,0.14321239292621613,4474129.5
32,0.11165407299995422,3918751.5,0.14243300259113312,4474129.5
64_dropout_02,0.0774865448474884,3918751.5,0.08113128691911697,4474129.0
100_dropout_02,0.07414916157722473,3918751.5,0.0746016874909401,4474129.0
128_dropout_02,0.08068420737981796,3918751.5,0.09239888936281204,4474129.0
128,0.08278156071901321,3918751.5,0.09950781613588333,4474129.0
128_dropout_02_lralto,0.09058833867311478,3918752.0,0.08380316197872162,4474129.5
512_dropout_02,0.07378781586885452,3918751.5,0.0964454635977745,4474129.0
512,0.07674608379602432,3918751.5,0.09182359278202057,4474129.5
1000_dropout_02,0.07545387744903563,3918751.5,0.10087129473686217,4474129.0
1000,0.0746007189154625,3918752.0,0.09986497461795807,4474129.5
32_drop_16_drop,0.11263913661241533,3918752.0,0.14216725528240204,4474129.5
32_16,0.07323843985795975,3918752.0,0.08276381343603134,4474130.0
100_dropout_50_dropout,0.07015953958034515,3918752.0,0.07391107827425003,4474129.5
200_drop_100_drop,0.08321282267570496,3918751.5,0.09797712415456772,4474129.0
2_mesi_2_sett_1,0.07432305812835692,3951273.75,0.07500585168600082,4456704.5
2_mesi_2_sett_2,0.07924724370241165,3951273.75,0.0992107167840004,4456704.5
1_mese_1,0.08139193803071976,3722806.25,0.07561352103948593,4496774.5
2_sett_1,0.08662770688533783,3604482.5,0.10803341865539551,4496664.5
2_sett_2,0.08810590952634811,3604482.5,0.10670020431280136,4496664.0
2_sett_3,0.08996196836233139,3604482.25,0.10721566528081894,4496663.0
2_sett_4,0.09164899587631226,3604482.25,0.11213033646345139,4496663.0
2_sett_5,,,,
