,Model_CODE,MAE_TRAIN,MAE_TRAIN_ORIGINAL,MAE_VAL,MAE_VAL_ORIGINAL
0,32_dropout_02,0.14607638120651245,4474130.0,0.1129610612988472,3918752.25
1,32,0.08228889107704163,4474129.5,0.07518132776021957,3918752.0
2,64_dropout_02,0.08168301731348038,4474129.5,0.07413826137781143,3918751.5
3,100_dropout_02,0.0802730843424797,4474129.5,0.07860071957111359,3918752.0
4,128_dropout_02,0.07836445420980453,4474129.0,0.08145682513713837,3918751.5
5,128,0.14403603971004486,4474129.5,0.12276322394609451,3918752.0
6,128_dropout_02_lrbasso,0.34890294075012207,4474130.0,0.27745240926742554,3918752.25
7,128_dropout_02_lralto,0.07819215953350067,4474129.5,0.084853395819664,3918752.0
8,512_dropout_02,0.09941364079713821,4474129.5,0.07520270347595215,3918752.0
9,512,0.09636371582746506,4474129.5,0.07725954800844193,3918752.0
10,1000_dropout_02,0.10654604434967041,4474129.0,0.0765138566493988,3918751.5
11,1000,0.10404831916093826,4474129.0,0.07797709852457047,3918751.5
12,32_drop_16_drop,0.14493310451507568,4474129.5,0.11407832056283951,3918752.0
13,32_16,0.1440732479095459,4474129.5,0.11573469638824463,3918752.0
14,100_dropout_50_dropout,0.131593257188797,4474129.5,0.10768672078847885,3918752.0
15,200_drop_100_drop,0.14557863771915436,4474129.5,0.11819600313901901,3918752.0
16,2_mesi_2_sett_1,0.07626203447580338,4456705.0,0.07285726815462112,3951273.75
17,2_mesi_2_sett_2,0.09822636842727661,4456706.0,0.08141467720270157,3951274.5
18,1_mese_1,0.1539183259010315,4496774.5,0.11134715378284454,3722806.5
19,2_sett_1,0.1130211129784584,4496664.0,0.09950534254312515,3604482.25
20,2_sett_2,0.10496177524328232,4496664.0,0.08847206085920334,3604482.25
21,2_sett_3,0.10643596947193146,4496664.0,0.09157849848270416,3604482.25
22,2_sett_4,0.10333666205406189,4496664.0,0.09301665425300598,3604482.5
