"Value","Timestamp"
3646742,"2018-09-01 01:00:00"
3273110,"2018-09-01 02:00:00"
3069245,"2018-09-01 03:00:00"
2969621,"2018-09-01 04:00:00"
2944116,"2018-09-01 05:00:00"
3022310,"2018-09-01 06:00:00"
3121279,"2018-09-01 07:00:00"
3638322,"2018-09-01 08:00:00"
4199538,"2018-09-01 09:00:00"
4576271,"2018-09-01 10:00:00"
4596492,"2018-09-01 11:00:00"
4585998,"2018-09-01 12:00:00"
4416799,"2018-09-01 13:00:00"
4161943,"2018-09-01 14:00:00"
4120360,"2018-09-01 15:00:00"
4148513,"2018-09-01 16:00:00"
4232441,"2018-09-01 17:00:00"
4487133,"2018-09-01 18:00:00"
4979657,"2018-09-01 19:00:00"
5525592,"2018-09-01 20:00:00"
5530755,"2018-09-01 21:00:00"
5144431,"2018-09-01 22:00:00"
4632106,"2018-09-01 23:00:00"
4066985,"2018-09-02 00:00:00"
3520331,"2018-09-02 01:00:00"
3144834,"2018-09-02 02:00:00"
2928646,"2018-09-02 03:00:00"
2821206,"2018-09-02 04:00:00"
2776825,"2018-09-02 05:00:00"
2817111,"2018-09-02 06:00:00"
2812343,"2018-09-02 07:00:00"
3191634,"2018-09-02 08:00:00"
3552838,"2018-09-02 09:00:00"
3910139,"2018-09-02 10:00:00"
4051747,"2018-09-02 11:00:00"
4130196,"2018-09-02 12:00:00"
3985959,"2018-09-02 13:00:00"
3678684,"2018-09-02 14:00:00"
3690842,"2018-09-02 15:00:00"
3681279,"2018-09-02 16:00:00"
3756857,"2018-09-02 17:00:00"
4025933,"2018-09-02 18:00:00"
4535524,"2018-09-02 19:00:00"
5211713,"2018-09-02 20:00:00"
5423217,"2018-09-02 21:00:00"
5095115,"2018-09-02 22:00:00"
4547610,"2018-09-02 23:00:00"
3886121,"2018-09-03 00:00:00"
3296641,"2018-09-03 01:00:00"
2951358,"2018-09-03 02:00:00"
2795662,"2018-09-03 03:00:00"
2733532,"2018-09-03 04:00:00"
2735086,"2018-09-03 05:00:00"
2863786,"2018-09-03 06:00:00"
3141181,"2018-09-03 07:00:00"
3904598,"2018-09-03 08:00:00"
4656167,"2018-09-03 09:00:00"
4724654,"2018-09-03 10:00:00"
4521691,"2018-09-03 11:00:00"
4446529,"2018-09-03 12:00:00"
4160002,"2018-09-03 13:00:00"
4081998,"2018-09-03 14:00:00"
4301312,"2018-09-03 15:00:00"
4486451,"2018-09-03 16:00:00"
4792504,"2018-09-03 17:00:00"
5027349,"2018-09-03 18:00:00"
5362586,"2018-09-03 19:00:00"
5639485,"2018-09-03 20:00:00"
5859349,"2018-09-03 21:00:00"
5501791,"2018-09-03 22:00:00"
4771535,"2018-09-03 23:00:00"
3994655,"2018-09-04 00:00:00"
