"","p","d","q","P","D","Q","MAE_TRAIN","MAE_TEST","SEASONALITY","TYPE_SEASON"
"1",3,0,2,1,1,1,59792.757030974,472169.97488057,"W_Y_8",168
"2",5,0,0,2,0,2,61926.6187578278,479923.523774675,"D",24
"3",5,0,0,1,0,2,61931.8450537926,480037.996023588,"D",24
"4",5,0,0,1,0,3,61928.7785354184,480052.186739484,"D",24
"5",4,0,1,1,0,2,61843.3224793499,480368.080601513,"D",24
"6",6,0,0,1,0,1,65232.5737351855,492670.536853128,"D",24
"7",5,0,1,1,0,1,65349.4161881317,492684.921986641,"D",24
"8",4,0,1,1,0,1,65426.2694879483,493076.976660634,"D",24
"9",2,0,0,1,0,1,68580.8149685934,493395.551832047,"D",24
"10",4,0,0,1,0,1,65739.0211285659,494769.826424942,"D",24
"11",3,0,2,1,1,1,59694.3842112502,498598.29800276,"W_Y_16_ptII",168
"12",3,0,2,1,1,1,59694.3842112502,498598.29800276,"W_Y_16",168
"13",1,0,0,0,1,1,87524.5827551362,520195.348489815,"D",24
"14",5,0,3,2,1,1,61588.4532056121,520872.323642973,"D",24
"15",3,0,2,1,1,1,59058.7242991504,529560.299568408,"W_Y_32",168
"16",3,0,2,1,1,1,60150.4803303043,596089.010047679,"W",168
"17",4,0,1,1,1,1,60151.8994068268,599392.37615666,"W",168
"18",2,0,0,1,1,1,60286.0541850724,599598.906251476,"W",168
"19",3,0,1,1,1,1,60281.055562664,599932.575386078,"W",168
"20",2,0,1,1,1,1,60238.1856411142,600198.918456621,"W",168
"21",2,0,0,1,0,0,69616.0361011517,986782.467425578,"D",24
"22",2,0,0,0,0,1,120401.329409296,1043002.01965623,"D",24
"23",1,1,0,1,1,1,68044.1593125932,2026778.58120042,"D",24
